,B9A064,O00391,O14791,O43866,O95445,P00488,P00734,P00736,P00738,P00739,P00740,P00742,P00746,P00747,P00748,P00751,P01008,P01009,P01011,P01019,P01023,P01024,P01031,P01034,P01042,P01591,P01593,P01599,P01615,P01619,P01700,P01701,P01764,P01766,P01857,P01859,P01860,P01861,P01871,P01876,P01877,P02533,P02647,P02649,P02652,P02654,P02655,P02656,P02671,P02675,P02679,P02741,P02743,P02745,P02746,P02747,P02748,P02749,P02751,P02753,P02760,P02763,P02765,P02766,P02768,P02774,P02775,P02776,P02787,P02788,P02790,P03951,P03952,P04003,P04004,P04070,P04114,P04196,P04217,P04264,P04406,P04433,P05090,P05106,P05154,P05155,P05156,P05452,P05546,P06312,P06396,P06702,P06727,P06733,P07225,P07357,P07358,P07360,P07737,P07996,P08514,P08519,P08603,P08697,P08709,P09871,P0C0L4,P0C0L5,P0DJI8,P0DOY2,P0DOY3,P10643,P10720,P10909,P11142,P11226,P12259,P12814,P13645,P13671,P14618,P15169,P17936,P18065,P18206,P18428,P19652,P19823,P19827,P20851,P22352,P22891,P23142,P23528,P25311,P27169,P27918,P35443,P35527,P35542,P35579,P35858,P35908,P36955,P39039,P43652,P48740,P49747,P49908,P55056,P60709,P61224,P62937,P63104,P67936,P68366,P68871,P69905,P80748,P81605,Q03591,Q04756,Q06033,Q13103,Q13201,Q13790,Q14520,Q14624,Q5TB80,Q6Q788,Q86UX7,Q92954,Q96IY4,Q96PD5,Q9BXR6,Q9UGM5,Q9UK55,Q9Y490
B9A064,1.0,0.03819825,0.20056818,0.3002174,0.008541596,-0.06403511,0.11732377,0.0042159595,0.078440614,0.30821124,0.10647675,0.12705682,0.107216045,-0.056832112,-0.0040335646,-0.03606202,0.17216957,0.26639566,-0.118277736,-0.06440103,-0.033681076,0.083151735,-0.002383389,-0.062004797,0.11719017,0.36037353,0.04343964,0.26727873,0.10830706,0.1298419,0.06798712,0.07018716,0.2189867,0.5837132,0.40087685,0.3144605,0.22614007,0.07217116,0.40213546,0.23318839,0.2601734,-0.06089492,-0.0803761,0.053672846,-0.023574274,-0.000476253,0.020971263,-0.08740664,-0.10616675,-0.1474425,-0.12380605,0.06217783,0.13230973,-0.09538452,-0.06737228,-0.04476236,0.015821703,0.0948432,0.021771394,-0.12434284,0.11377669,-0.020508183,-0.14332646,0.21740817,-0.17408928,-0.09512474,-0.012380096,0.043072287,-0.046813585,0.17121214,-0.0051938198,0.109835565,0.07494754,0.081665546,0.0055365567,0.012086831,0.057637215,0.022560224,-0.09083343,-0.12799211,-0.016328298,0.26781592,-0.10101349,-0.059786208,-0.011077541,0.06499354,-0.045854196,-0.028487476,0.03367757,0.18556444,-0.028985402,0.27010787,-0.052915726,-0.034154914,0.10048291,0.02225753,0.0290297,0.056703866,-0.12599629,-0.0866758,-0.069280066,0.008149348,0.076446675,0.14859407,0.082962096,-0.01810084,0.25327682,-0.04375992,0.10239864,0.029223016,0.638161,-0.060395457,0.17992885,0.07899312,-0.05962501,-0.0346457,0.038027294,-0.058489434,-0.14166394,-0.0034102781,-0.0028181302,0.111172,0.07022604,0.101639085,-0.07312505,-0.031041289,-0.062300492,-0.0064444896,-0.00273215,-0.03352132,-0.013601586,0.05710997,-0.03646839,-0.08884609,0.0711022,0.069775335,0.064502016,0.013643368,-0.15129305,0.22909097,-0.070311464,0.04494732,-0.12589015,-0.0090810945,-0.09152244,-0.058111943,0.14444514,0.025712967,0.046030015,0.22889009,-0.15708672,-0.07273901,-0.09333502,-0.067412786,-0.08099536,-0.041867323,-0.08096555,-0.10835707,0.118550666,0.2516606,0.1503764,-0.016022194,-0.022432387,0.10974392,0.03881959,0.13475622,0.0999247,0.16128193,0.007844932,0.095990665,-0.030946247,0.14128514,0.019923542,-0.04961087,0.08270656,-0.07503062,-0.0046253945,-0.079654284
O00391,0.03819825,1.0,0.12129825,0.3031252,0.24319376,0.18577369,-0.033937626,0.61910146,0.07968611,0.040685035,-0.0073440964,-0.048988435,0.45029137,0.11577637,0.40665212,0.2720059,-0.06838078,-0.08971996,-0.06970561,0.008977723,0.03416551,0.05778948,0.5510598,0.2139422,0.02081956,0.16366288,-0.04737557,0.031959414,0.3204874,-0.028820818,0.15176457,0.72273535,0.06571576,0.20073277,-0.1256704,-0.09228606,0.123104684,0.14541863,0.09496428,0.053372584,0.15616055,-0.050456375,-0.1631606,-0.08284778,-0.11154848,-0.021651288,-0.07160446,-0.14689839,-0.08669336,-0.1202246,-0.114664756,0.11584415,0.07856416,-0.010152174,0.10653002,0.26791432,0.395164,0.23525575,0.6088777,0.014683995,-0.048925143,0.043459363,-0.10145218,-0.11077153,-0.03122141,0.0082903635,0.09622602,0.059737854,-0.043478526,0.5165338,0.04141476,-0.029696705,0.30346206,-0.010008826,-0.09618016,-0.07096871,0.31245306,0.0062028887,-0.035721254,0.15291291,0.16384272,0.078777276,0.23685518,0.08076428,0.09591753,0.43949026,0.31730473,0.45268673,-0.00059571234,0.04309145,0.6270064,-0.054666955,-0.036748063,0.7011153,-0.010094872,0.7947678,0.51796603,0.4284916,-0.051702823,0.38232678,0.0507333,0.46422815,0.6145757,0.14304101,-0.028592627,0.5131956,0.15879644,-0.001756261,-0.078133635,0.064688124,-0.11500751,0.5315206,-0.045551535,-0.04521837,0.20258059,-0.00089480606,0.5290439,0.2169137,-0.11409946,0.42743364,0.24431784,0.06859851,0.19217445,0.2150305,0.029374242,0.17487827,0.07969318,-0.03330745,-0.036208503,0.07380228,0.118230514,0.017299894,0.60359794,0.31893763,0.72752047,0.26716876,0.12724732,0.26922,-0.1349277,-0.023873817,0.16795775,0.5365726,-0.11901963,0.653602,-0.06768442,0.13962847,0.148863,0.70633745,0.3269226,-0.06341364,-0.049794514,-0.017385066,0.29473695,0.024714436,0.0016884309,0.2744761,-0.059207097,-0.06329258,0.23297173,0.26705986,0.15505053,0.2789046,-0.09210081,0.12973768,0.74259436,0.061156604,0.022043776,0.18966652,-0.09623345,0.04792286,0.16861129,0.28428584,0.17050941,0.16772923,0.5504616,-0.048782963,0.29645473,-0.021669082
O14791,0.20056818,0.12129825,1.0,0.021487255,0.18058373,-0.020153815,-0.017237809,0.09275652,0.012699079,0.25648507,-0.04077227,-0.052403685,0.04767502,-0.017703747,0.02614122,0.025237758,0.012175098,0.1628913,-0.06929174,-0.0025464792,-0.066178136,0.047146343,0.1294233,0.004307686,-0.045548487,0.060278673,-0.029003719,-0.0022174753,0.14131446,-0.0018881924,0.0068716696,0.1484697,0.12921934,0.08860202,-0.02295834,0.0014952829,-0.002754793,0.025294086,0.10751937,0.0711094,0.14803578,-0.0038291803,0.069465175,0.15846814,0.23243102,0.030616567,0.34091187,0.016114132,-0.07590027,-0.09379036,-0.09111843,-0.0025637595,-0.0032536755,-0.043397997,-0.021251326,0.017524622,0.16601269,0.017929953,0.09766342,-0.05353994,-0.060848188,-0.027458956,-0.08525671,0.18930256,-0.121932216,-0.05918706,0.030573579,0.036097016,-0.057465754,0.111655004,-0.047642745,-0.047308244,-0.000416387,-0.05966409,-0.02678614,-0.032991696,0.2271165,-0.041593246,-0.05921761,-0.011703381,0.023328304,0.14562485,0.09528486,-0.0038735643,-0.05723648,0.047594152,-0.0035604378,0.029545033,0.077929385,0.1476596,0.07132703,0.16551824,0.23702976,0.112268865,-0.046435576,0.1358057,0.08978173,0.063085884,-0.033083577,0.002901864,-0.003899722,0.09359548,0.049942162,-0.03495487,-0.034648634,0.05505724,0.011408583,-0.035619933,0.17014898,0.023569169,0.1845659,0.0992946,-0.059460822,0.07288497,0.020008687,-0.03547765,0.06108479,0.029131508,-0.05042036,0.115804255,0.04891614,0.031107565,0.09072275,0.05020545,-0.011074047,0.0887175,-0.016160896,-0.029834092,-0.04908777,-0.024587587,0.03132913,-0.039612267,0.112466626,0.020097068,0.12853447,0.39574367,-0.019066112,0.031458244,-0.04045716,0.7262848,0.012382882,0.31645724,-0.045825206,0.100511946,-0.052053187,-0.021977203,0.008404617,0.10246676,0.05383098,0.29268113,-0.069188826,0.0023851823,-0.0030379023,-0.015062271,0.00012295131,0.040492013,-0.028446572,-0.04179633,0.02082331,0.15621701,-0.03836285,0.017311634,-0.043678537,-0.004545331,0.15602636,0.5579226,-0.032852158,-0.0021032647,-0.046698518,0.42504764,0.068197496,0.066954195,0.10120767,0.06849392,0.10955892,-0.04181844,0.1324521,-0.036094457
O43866,0.3002174,0.3031252,0.021487255,1.0,0.1003231,0.09982362,0.13418825,0.40532982,0.13826548,0.187914,0.22458015,0.19887543,0.12924229,0.04026105,0.13355674,0.047947295,-0.037654903,0.2517533,-0.10781477,-0.046919357,-0.0078108716,0.06310962,0.22195858,0.024758141,-0.0050852,0.73204046,-0.032080345,0.06574806,0.11515419,-0.056204386,0.0582421,0.2993097,0.10112073,0.19365922,0.0018969285,0.28104845,0.09577445,0.04648829,0.3591717,0.11543195,0.20261325,0.055989143,-0.14127429,-0.08270102,-0.085762806,0.010713255,-0.023662684,-0.10060803,-0.103666134,-0.122779824,-0.11938845,0.31846532,0.13249594,-0.02036081,0.02694821,0.16723606,0.11449154,0.088920854,0.36108375,0.03288287,0.0987758,0.039904576,-0.120850146,0.08768872,-0.068866394,0.04979837,0.017464515,0.04336539,0.03183869,0.21918039,0.16214198,-0.05604539,0.040376253,0.21080978,-0.05528375,0.08792033,0.081110194,-0.028620115,-0.05557528,0.04928348,0.0890197,0.008507009,0.052845053,0.013921492,-0.11472284,0.29857123,0.06674408,0.11061403,-0.068345964,-0.027464662,0.2253789,0.01095455,-0.034841903,0.22038351,0.25150517,0.28573635,0.112661056,0.14790164,-0.07839723,0.16109361,-0.0030107794,0.16287905,0.3154599,0.1368681,0.13918418,0.40074098,0.100342296,-0.0006501113,-0.014524383,0.013313734,0.26175812,0.1751019,0.027299384,-0.0063909944,0.025670534,0.10878472,0.24617486,0.048673347,-0.05346389,0.12125618,0.15814507,-0.035018444,0.018710645,-0.027906395,-0.010329454,0.0797805,0.029707273,0.009522424,0.021461975,0.13696447,0.15839231,0.24515623,0.18873823,0.049659487,0.30025604,0.11409743,0.44189796,0.3522317,-0.09784908,-0.051362596,0.036065407,0.17376809,-0.0019358114,0.20307486,-0.08157669,0.05104897,0.32956678,0.34163526,0.18626954,-0.04012217,-0.07614825,-0.03556815,-0.0028008937,-0.025516622,0.008977611,0.10680361,-0.043541417,-0.07316275,0.09468335,0.15603161,-0.0037674662,0.05240057,0.005084073,0.1889492,0.2958116,0.057088956,0.13011643,0.03973326,0.057765134,0.17410785,0.082317255,0.08799511,0.05310722,-0.0017584665,0.20880166,-0.058510818,0.25852394,-0.026959043
O95445,0.008541596,0.24319376,0.18058373,0.1003231,1.0,0.032044794,-0.041410215,0.23446938,0.08193182,0.13801618,-0.021367854,-0.060576513,0.059851617,0.027144628,0.11497728,0.15128842,-0.06770714,0.07913074,-0.08162616,0.033531133,-0.037105687,0.02245804,0.2581628,0.07825499,-0.043985743,0.05046437,0.006157103,0.005436258,0.1494839,-0.017685786,0.08774077,0.34084252,0.2063303,0.08704916,-0.04390626,0.01465723,0.051235095,0.095018744,0.007517627,0.043446165,0.049920354,0.09759419,-0.032930996,-0.058574494,0.054168854,0.4223336,0.19342627,0.03945252,-0.09162315,-0.103423506,-0.11007697,0.23078811,-0.005250686,-0.059439007,-0.017757643,0.04670941,0.22433153,0.10791936,0.22953503,0.08896265,-0.033195503,0.006680466,-0.098641716,0.14322606,-0.053557772,0.0056576533,0.31482247,0.14774773,-0.01894185,0.17644157,0.13208109,-0.05978274,0.05678502,0.01247965,-0.036189385,-0.013331974,0.15826714,-0.048113752,0.03474716,0.029104898,0.05198911,0.0334795,0.29071027,0.0074469163,-0.08828608,0.20975602,0.162531,0.09805258,0.13457249,0.052144695,0.1321589,-0.029854588,0.08453244,0.18746589,-0.001700138,0.32543173,0.31428593,0.23847139,0.3200413,0.03126296,0.030284964,0.23257867,0.24576035,0.012162179,-0.028205637,0.16081694,0.0110430615,-0.008136651,0.07129405,0.10836231,-0.015892055,0.2260337,-0.057876587,0.015265469,0.16403642,-0.0358181,0.1408087,0.13532807,-0.050796516,0.25232714,0.21330802,-0.021569332,0.036898766,-0.0462696,0.029528318,0.09454639,0.24422586,-0.024012633,-0.037421573,0.16164915,0.09940649,-0.01554934,0.19366187,0.16338766,0.35635725,0.54895896,0.046273977,0.26183796,0.022495667,0.1552437,0.034468226,0.3651833,-0.058107547,0.25760758,-0.069760814,0.26522923,0.033652212,0.29641965,0.21616213,0.20097016,-0.028838726,0.067295425,0.09549913,0.07200141,0.103152804,0.23716271,0.018777544,0.014693951,0.2845665,0.35181394,-0.0054651126,0.07668237,-0.03990797,0.057532582,0.2610869,0.39111975,-0.006240114,0.13940142,0.015267985,0.21491615,0.08345488,0.12546682,0.11589136,0.19775596,0.20579706,-0.046836674,0.2615033,-0.021840315
P00488,-0.06403511,0.18577369,-0.020153815,0.09982362,0.032044794,1.0,-0.04461866,0.07693043,0.008631169,-0.048554923,-0.029512,-0.03207247,0.10115372,0.064163916,0.08783774,0.03842885,-0.031283237,0.033679225,-0.029823808,0.0155079095,-0.017219039,-0.07699287,0.045212816,0.038938183,-0.045376007,0.0693843,-0.026615703,-0.012940793,0.0136900125,-0.0342589,-0.0008557859,0.07344193,-0.033661906,-0.04923191,-0.070792414,-0.02669106,-0.047860082,-0.013729174,-0.034266047,-0.034446683,-0.01969425,0.00091209036,-0.0830895,-0.071695045,-0.09048479,-0.015535054,-0.031433173,-0.03708945,-0.040991798,0.12269066,0.1212349,0.057662096,-0.03189607,-0.011323287,-0.00069950224,0.01637523,0.01854924,0.049339652,0.21620059,0.08898236,-0.01738243,-0.02374058,-0.03242915,-0.040366415,0.0056495597,0.022053644,-0.013410493,-0.0054892777,0.0044301283,0.028190097,0.0008459484,-0.048640694,-0.010624186,-0.052051604,-0.037415873,-0.03222851,-0.008365949,-0.025398636,-0.024792122,0.0015875451,0.1915509,-0.022011047,0.0044524386,0.09042322,0.06405493,0.014040044,0.16227424,0.11871872,-0.023884501,-0.036548164,0.18062715,-0.03070068,-0.048609592,0.2170432,-0.035742093,0.08607475,0.015414175,0.032277897,0.06183178,0.243841,0.07667832,0.04192284,0.088339895,-0.003383367,0.0035150885,0.07831985,-0.0395666,-0.026114326,-0.029884329,-0.055837628,-0.073597685,0.06893991,-0.058967542,-0.024558304,0.13078925,0.024754891,0.13838655,0.11947059,-0.035504233,0.0252986,0.049494904,0.007007633,0.016322061,0.24368715,0.07942999,-0.011666607,-0.027652174,-0.04179026,-0.021917012,-0.021913538,0.039990604,0.06508037,0.07790357,0.23469283,0.06586333,0.0139414,0.04316554,0.09899448,-0.026748827,-0.05180144,0.11294778,0.06085776,-0.028372973,0.041009836,-0.040778674,-0.009503632,0.0645973,0.10003645,0.057414882,-0.037432637,0.093640454,0.103242174,0.28934357,0.11611801,0.042135973,0.10942539,-0.008461443,0.051483583,0.005666614,0.005796926,-0.05226233,0.01334661,-0.00596939,-0.0033071702,0.0959895,-0.011768788,-0.015874388,-0.02130708,0.011750435,0.03264924,0.1873243,-0.015995933,-0.02380852,-0.022872731,0.033502907,0.0013477711,0.033210665,0.13797618
P00734,0.11732377,-0.033937626,-0.017237809,0.13418825,-0.041410215,-0.04461866,1.0,-0.0039064367,-0.07866231,0.033758342,0.64260507,0.62043226,-0.06040543,-0.07512623,-0.009397725,-0.12998745,0.4369721,0.11314026,-0.112120055,-0.05920791,-0.10465913,-0.035026044,-0.03652862,-0.0861536,0.09074663,0.06812804,-0.057633027,-0.055791605,-0.06594464,-0.09653945,-0.06010028,-0.013138141,0.018849304,-0.028160682,-0.04074669,-0.10984754,-0.012079138,-0.07022197,0.14896777,0.045373656,0.044506464,-0.055224877,-0.149941,0.35560676,0.013059095,-0.04091291,-0.0074110352,-0.12657134,-0.11252768,-0.11813763,-0.13905717,0.08892331,0.36540762,-0.10842074,-0.12631088,-0.09961813,-0.021232259,-0.08488083,-0.082664505,-0.10760082,0.16477077,-0.06337876,-0.13749403,0.31418082,-0.2130321,-0.115168035,-0.028599234,0.106007285,-0.13520464,0.13886727,-0.1374376,0.15776922,-0.0014712578,0.5952143,0.30460683,0.56856686,-0.10276195,0.072968565,-0.08215768,-0.10554869,0.023890898,-0.05873325,-0.094389334,-0.06328624,-0.0058224835,-0.041404508,-0.03837649,-0.056076117,0.31154507,-0.085753955,-0.049019758,-0.036911797,-0.076374285,-0.04872925,0.65674424,-0.0444164,-0.10751589,-0.049609393,-0.08911919,-0.036745846,-0.06812755,-0.030595865,-0.048546653,0.18796095,0.5852735,0.00934798,0.30782303,0.14931166,0.024586203,-0.05018797,0.15381275,-0.049223777,0.44141766,-0.036098693,-0.04872119,-0.063577004,0.012747271,-0.07680225,-0.112117276,-0.0832611,0.06951729,0.10791577,-0.04090195,-0.0069200615,-0.07281867,0.013118671,-0.07876357,0.13986637,0.15871216,0.4135821,-0.034779217,0.5574068,-0.06096149,-0.021664938,-0.037723046,0.080843605,-0.004026704,0.085539475,-0.09362983,0.07253833,-0.05275567,-0.05232774,-0.10907372,-0.067954704,-0.09924483,-0.098485835,-0.015237342,0.046948966,0.037759896,0.100652516,-0.11688322,-0.059370864,-0.039537873,-0.073477425,-0.024930129,-0.023002932,-0.10013818,-0.097758465,-0.019281184,-0.055676173,0.081222646,0.007271808,0.18985188,0.40001166,-0.00045913877,0.015721917,0.15177858,-0.02127621,0.03983584,0.0016392099,0.010536127,0.109797806,0.1494709,-0.08032872,0.13894576,-0.06811206,0.08900287,-0.032901324
P00736,0.0042159595,0.61910146,0.09275652,0.40532982,0.23446938,0.07693043,-0.0039064367,1.0,0.17638685,0.09844463,-0.03739219,-0.070912614,0.2822002,0.11178366,0.26079077,0.18790099,-0.10858207,-0.08276118,-0.11254853,-0.037329488,-0.033252764,0.0757758,0.57538277,0.14218576,0.024203608,0.257302,-0.048652735,0.034064256,0.4077096,-0.012062944,0.18537356,0.6188079,0.13486743,0.19886301,0.017894676,-0.00083095295,0.32765707,0.1809628,0.20480199,0.049879953,0.17798921,0.028200904,-0.048647746,-0.11658896,-0.06794458,0.060104888,-0.03969122,-0.07494787,-0.06659149,-0.118427426,-0.11108023,0.20052814,0.11521354,-0.0034052571,0.09865417,0.36498356,0.4059365,0.40137535,0.5374829,-0.03986744,-0.010503852,0.036148913,-0.14334321,-0.10761771,-0.116722636,-0.03512922,0.25907394,0.09081612,-0.06787641,0.44492987,0.068065844,-0.07954511,0.19947998,0.066582955,0.006197159,0.004607829,0.19097045,-0.039356027,-0.057174347,0.24911654,0.07010605,0.101823665,0.21840298,0.07154534,-0.1313394,0.49708995,0.1664723,0.34966543,-0.05328495,0.049242683,0.54832816,-0.047130965,-0.015769709,0.583511,-0.011554568,0.7160469,0.3075774,0.4000517,-0.064799756,0.27393654,0.04006405,0.35291836,0.71490324,0.0284786,-0.054748714,0.83618903,0.12219468,0.008277642,0.13876984,0.24239554,-0.11251687,0.55051655,-0.07603356,0.040877886,0.07731185,-0.0055105947,0.3819284,0.18014224,-0.06069501,0.37113577,0.18104391,-0.023772687,0.1481851,0.009778534,0.0030663859,0.47211173,0.119904086,-0.01641901,-0.017715285,0.11047659,0.011734894,-0.0028881158,0.5059847,0.12713724,0.5943423,0.26468977,0.11888326,0.2252897,-0.029705506,-0.05482781,0.13692331,0.4416068,-0.053482313,0.6408571,-0.094242975,0.07771584,0.1714373,0.6049108,0.30921072,-0.072123915,-0.09530444,-0.035430003,0.07170062,0.0007396718,-0.02774958,0.16218728,-0.09032173,-0.1120238,0.32380798,0.24917953,0.18175788,0.19392613,-0.095957965,0.13734603,0.6774975,0.06297049,0.0066819163,0.2677744,-0.0943181,0.024088066,0.11920301,0.27614227,0.10954204,0.06506864,0.528375,-0.077355295,0.29071546,-0.10264415
P00738,0.078440614,0.07968611,0.012699079,0.13826548,0.08193182,0.008631169,-0.07866231,0.17638685,1.0,0.4649777,-0.04650033,-0.060511604,-0.03380628,0.04522801,0.03827928,0.035506755,-0.10693332,0.23061457,-0.113423795,0.008376971,0.044743206,0.022094768,0.13552189,-0.044743195,-0.020887354,0.1512271,-0.019564157,-0.019417563,0.14177147,0.083842516,0.04647694,0.12896144,0.1860203,0.22632241,0.26080734,0.2973986,0.27578413,0.08664084,0.17395245,0.1680752,0.24300534,0.054066725,0.020269236,-0.13441892,-0.106239006,0.01614909,-0.07146323,-0.11962651,-0.060671102,-0.076289095,-0.06561167,0.072056785,-0.025129732,-0.0855463,-0.06641496,0.01261293,0.13072224,0.18770067,0.027139926,0.07056702,0.07880208,0.12815008,-0.15069379,0.0029779414,0.064229704,0.036788873,0.017872384,-0.028265437,0.2248766,0.050464023,0.31719604,-0.055658273,-0.011953149,0.026717804,-0.056464273,-0.056350183,0.048065253,-0.032220673,0.08156115,0.12560938,0.33186847,0.050264057,0.2383743,0.41217452,-0.15959409,0.15426904,0.031953543,0.0010194955,-0.030852305,0.01039926,0.055201236,0.017857302,0.082413346,0.21376424,-0.029381668,0.1412639,0.14232422,0.17392272,0.14392413,0.15408948,0.4385783,0.06873603,0.14851932,0.03305643,-0.046310205,0.15291016,0.011844214,0.02138854,0.057764664,0.36790404,0.089483,0.08844264,-0.114091836,-0.019096695,0.00034178357,-0.06928583,0.025428016,0.39778695,-0.041386727,0.12272889,0.05067209,-0.06076864,-0.027861802,-0.103791535,0.42715588,0.23087387,0.2998414,-0.033298925,0.017751524,0.034355067,0.07346423,-0.032769915,0.06517015,0.20239142,0.2783904,0.110560685,0.057964273,0.049723607,0.0514013,0.005230577,0.37571624,0.1404913,0.04987987,0.12065159,-0.105418295,0.27974552,0.17807288,0.10570341,0.08552849,-0.05114632,0.3627116,0.34552434,-0.024146788,0.35398957,0.18573952,0.020041477,-0.08180197,-0.11282488,0.08959698,0.08273476,0.019417591,-0.018347612,-0.020972295,0.044209797,0.11261092,0.06452626,0.061165158,0.039063267,0.14353417,-0.00755099,0.060368914,-0.0151160415,-0.0037272242,0.15439495,0.09066814,-0.07897485,0.08964279,0.3999124
P00739,0.30821124,0.040685035,0.25648507,0.187914,0.13801618,-0.048554923,0.033758342,0.09844463,0.4649777,1.0,0.050799318,0.034773465,0.06314862,-0.035047784,0.015120334,-0.020257043,-0.0069467975,0.43679726,-0.091381215,0.019102814,0.061555687,0.10013428,0.08259536,-0.045310132,0.089599,0.28088215,0.029485261,0.019730905,0.2231551,0.12455158,0.022065712,0.092392296,0.27914217,0.31025842,0.07539604,0.21160749,0.15595444,0.037002448,0.2349724,0.15302943,0.35467368,0.083328545,-0.006693641,-0.032013234,0.07252141,0.050827317,0.09926018,-0.083033204,-0.11057054,-0.12474675,-0.13318102,0.07551337,0.02953432,-0.07372836,-0.046608783,-0.015145859,0.12393581,0.076914914,-0.0034238982,-0.0571342,0.19460009,0.15787637,-0.124491595,0.27668393,-0.083518155,0.0012590442,0.04249091,0.010067193,0.10275854,0.12622362,0.028483141,0.021549001,0.05860192,0.09992075,-0.0035221092,0.021411663,0.06383263,-0.013500677,0.05539406,-0.0048766457,0.008225031,0.20934579,0.27315307,-0.016325759,-0.066897295,0.2417957,-0.0052600033,0.032295074,0.05136691,0.19072677,0.030497324,0.29886308,0.18548617,0.032648243,0.0619073,0.09132314,0.039977957,0.06194826,-0.040606648,-0.054040972,-0.017933702,0.038749967,0.09255054,0.17549983,0.0040244944,0.056583136,0.14677608,-0.037975095,0.02450157,0.14739858,0.3933234,0.102726884,-0.0077255857,0.002911421,-0.014485873,-0.061714876,0.027396914,-0.012492522,-0.04568296,0.11905215,0.022666149,0.070969954,0.0854804,0.07684528,-0.03707732,0.05602961,0.10123225,0.058580983,0.07245399,0.056274183,0.013780935,0.02752416,0.05274659,-0.012874089,0.19996858,0.26320654,0.021665514,0.050978683,0.012506143,0.2341098,-0.0014923203,0.12029561,-0.02268156,0.0694902,-0.081834905,0.10106351,0.015046283,0.07348494,0.061001517,0.109869055,-0.0958403,-0.011225321,-0.027618486,-0.02734981,0.013548952,0.009285648,-0.06103483,-0.08269758,0.09916538,0.21441738,0.0089016035,-0.016705027,0.049011413,0.12734923,0.09493904,0.26012582,0.19040114,0.11279984,0.107909374,0.1559254,0.14237803,0.046096303,0.011190143,0.03133389,0.068024315,-0.06584249,0.07702708,-0.037746914
P00740,0.10647675,-0.0073440964,-0.04077227,0.22458015,-0.021367854,-0.029512,0.64260507,-0.03739219,-0.04650033,0.050799318,1.0,0.92184556,-0.040932212,-0.04489498,0.11589088,-0.03992023,0.118918836,0.120490484,-0.05079398,-0.032131724,-0.051127635,-0.05410357,-0.020326156,-0.045789707,0.029647058,0.10812457,-0.025088316,-0.02932174,-0.039287496,-0.048204508,-0.02782959,0.008363118,0.04351246,-0.010507582,-0.044598177,-0.07390529,-0.05029687,-0.041563347,0.18093835,0.06030148,0.021789044,-0.03742208,-0.12795264,0.111218855,-0.03644092,0.019703194,-0.00432295,-0.0794651,-0.06533621,-0.0729789,-0.07829317,0.08835638,0.33421898,-0.06684085,-0.07076726,-0.07136515,0.036025684,-0.08824564,-0.03951569,-0.05880589,0.0617406,-0.0153338695,-0.068254694,0.24431139,-0.14619014,-0.05979469,-0.017206933,0.050856505,-0.06655596,0.007353112,-0.079839505,0.02969287,-0.03169805,0.70949703,0.09470598,0.62057084,-0.06350861,0.023410207,-0.064493194,-0.06235694,-0.03870289,-0.028030943,-0.031638324,-0.026461227,-0.05940739,0.01590253,-0.050394572,-0.03273008,0.04261547,-0.04508489,-0.063613065,-0.024825815,-0.061701324,-0.015711732,0.86263436,0.0070049167,-0.038764082,-0.0073206127,-0.013456417,-0.039649528,-0.025935747,-0.0055683833,-0.05631691,0.13614719,0.77358246,-0.047077514,0.2165583,0.02284894,-0.0410204,-0.053581297,0.16269816,-0.024660202,0.2946926,-0.038469594,0.050621595,-0.034537375,0.008000049,-0.023911087,-0.059504602,-0.028927261,0.040285353,-0.06281367,-0.037249323,-0.04833583,-0.027598297,-0.039814472,-0.03964735,0.042974625,0.010187508,0.38010123,-0.048658907,0.72828174,-0.024897285,0.007079338,-0.008005228,-0.027256371,-0.0006889987,0.10088796,-0.050472945,-0.07004556,-0.010993381,-0.029652473,-0.056809083,-0.024856115,-0.04926631,-0.047664374,-0.019628864,0.07804628,0.0029633138,-0.05772493,-0.047768217,-0.016946223,-0.031977218,-0.029053302,0.018206267,-0.00088162936,-0.045703005,-0.06215452,0.008504778,-0.012830112,-0.04400757,-0.029418284,0.043829218,0.4346615,0.013404029,-0.01655159,0.07021429,-0.05697211,-0.010403982,-0.035007544,0.030085208,-0.020417264,-0.023808656,-0.0394989,0.00872302,-0.04161739,0.17348751,-0.004643365
